,attraction,n_reviews,categories
0,Portland Japanese Garden,6.324,Jardines
1,International Rose Test Garden,5.667,Jardines
2,Multnomah Falls,3.398,Cascadas
3,Crater Lake National Park,3.152,Parques nacionales
4,Cannon Beach,2.560,Playas
5,Haystack Rock,3.288,"Playas, Formaciones geológicas"
6,Oregon Coast Aquarium,3.095,Acuarios
7,Lan Su Chinese Garden,2.562,Jardines
8,Ecola State Park,1.878,Parques estatales
9,Pittock Mansion,2.575,"Monumentos y lugares de interés, Edificios con valor arquitectónico"
10,Astoria Column,2.700,"Áreas de naturaleza y vida silvestre, Monumentos y estatuas"
11,High Desert Museum,1.972,Museos especializados
12,Yaquina Head Outstanding Natural Area,1.859,Áreas de naturaleza y vida silvestre
13,Parque Washington,1.570,"Zoológicos, Parques"
14,Evergreen Aviation & Space Museum,1.584,Museos especializados
15,Columbia River Maritime Museum,1.835,"Museos especializados, Masas de agua"
16,The Grotto - National Sanctuary of Our Sorrowful Mother,1.332,"Bosques, Lugares religiosos"
17,Smith Rock State Park,1.128,Parques estatales
18,Silver Falls State Park,960,Parques estatales
19,Parque Lithia,1.630,Parques
20,Columbia River Gorge,1.231,"Cañones, Formaciones geológicas"
21,Heceta Head Lighthouse,1.273,Faros
22,Cape Perpetua Scenic Area,1.187,"Parques estatales, Rutas turísticas"
23,Devils Punchbowl State Natural Area,1.074,"Parques estatales, Playas"
24,Newberry National Volcanic Monument,847,"Monumentos y estatuas, Formaciones geológicas"
25,Wildlife Safari,760,Áreas de naturaleza y vida silvestre
26,Fort Clatsop National Memorial,879,"Lugares históricos, Parques nacionales"
27,Newport's Historic Bayfront,1.470,Muelles y paseos peatonales
28,Yaquina Bay Lighthouse,1.238,Faros
29,Face Rock State Scenic Viewpoint,800,"Parques estatales, Áreas de naturaleza y vida silvestre"
30,Wallowa Lake Tramway,535,"Tranvías, Torres y observatorios"
31,Lincoln City Glass Center,549,Galerías de arte
32,Sea Lion Caves,1.669,Cavernas y cuevas
33,Portland Saturday Market,1.114,Mercados de las pulgas y al aire libre
34,Tumalo Falls,713,Cascadas
35,Studio West Glassblowing Studio and Gallery,165,"Galerías de arte, Lugares educativos"
36,Powell's City of Books,5.416,Tiendas de regalos
37,Domaine Serene,634,Viñedos con bodegas
38,Bonneville Lock & Dam,645,Represas
39,Western Antique Aeroplane & Automobile Museum,431,Museos especializados
40,Trillium Lake,460,Masas de agua
41,White Wolf Sanctuary & Educational Facility,199,Áreas de naturaleza y vida silvestre
42,Lava River Cave,468,Cavernas y cuevas
43,Archery Summit Winery,261,Viñedos con bodegas
44,Otter Crest Loop,360,Rutas turísticas
45,Camp 18 Museum,341,Museos de historia
46,Thor's Well,233,Formaciones geológicas
47,Natalies Estate Winery,85,Viñedos con bodegas
48,Klamath County Museum,159,Museos de historia
49,Seaside Beach,295,Playas
50,Brooks Wine,138,Viñedos con bodegas
51,Bells Up Winery,71,Viñedos con bodegas
52,Escape Games PDX,617,Juegos de escape
