,hotel_id,direction,description,attributes,latitude,longitude,scores
0,14,"5710 East Estrid Avenue, Paradise Valley, Phoenix, AZ 85254, Estados Unidos","Twilight Chateau w/ Heated Pool, Hot Tub, & Games!, que cuenta con bañera de hidromasaje, se encuentra en Phoenix. Esta casa o chalet dispone de piscina privada, jardín y parking privado gratis.

Esta casa o chalet tiene aire acondicionado y cuenta con 4 dormitorios, TV de pantalla plana y cocina con nevera y lavavajillas. Hay toallas y ropa de cama en la casa o chalet.

Copper Square está a 27 km del alojamiento, y Centro de Convenciones de Phoenix está a 28 km. El aeropuerto más cercano (Aeropuerto de Scottsdale) está a 4 km del alojamiento.","['Parking gratis', 'Piscina', 'Secadora de ropa', 'Cocina', 'Horno', 'WiFi gratis', 'Fogones']",33.6153998,-111.9590028,[]
1,37,"Tucson, 85716-5128, Estados Unidos","Modern Tucson Guest House Less Than 3 Mi to U of A! está en Tucson, a 3,8 km de Estadio de Arizona y a 7,1 km de Centro de convenciones de Tucson, y ofrece wifi gratis y aire acondicionado. Esta casa o chalet está a 3,4 km de Reid Park Zoo y a 7,2 km de Tucson Museum of Art.

La casa o chalet se encuentra en la planta baja y dispone de 1 dormitorio, TV de pantalla plana con canales por cable y cocina totalmente equipada con nevera, lavavajillas, lavadora, horno y microondas. Hay toallas y ropa de cama en la casa o chalet.

Pima Air & Space Museum está a 14 km del alojamiento, y Pima Air Museum está a 16 km. El aeropuerto (Aeropuerto internacional de Tucson) está a 13 km.","['¿Está abierta la piscina?', '¿Cómo y cuándo pago?', 'Piscina al aire libre', 'Parking en el alojamiento', '¿Se sirven desayunos?', 'WiFi gratis', 'Habitaciones sin humo', '¿Hay restaurante?', '¿Puedo aparcar aquí?', '¿Hay spa?']",32.2259125,-110.9111498,[]
2,81,"6655 North Canyon Crest Drive 16202, Tucson, 85750, Estados Unidos","Gorgeous Mountain and City Views, Pools, and Hot Tubs se encuentra en Tucson y ofrece un balcón con vistas a la ciudad y a la montaña, además de piscina al aire libre abierta todo el año, centro de fitness y bañera de hidromasaje. Esta casa o chalet también dispone de piscina privada y wifi gratis.

Esta casa o chalet con aire acondicionado consta de 2 dormitorios, una sala de estar, una cocina totalmente equipada con nevera y cafetera, y 2 baños con bañera de hidromasaje y artículos de aseo gratuitos. Se ofrece TV con canales por cable y reproductor de Blu-ray.

Estadio de Arizona está a 20 km del alojamiento, y Centro de convenciones de Tucson está a 23 km. El aeropuerto más cercano (Aeropuerto internacional de Tucson) está a 29 km del alojamiento.","['Habitaciones familiares', '¿Está abierta la piscina?', '¿Cómo y cuándo pago?', 'Piscina al aire libre', 'Gimnasio', '¿Se sirven desayunos?', 'WiFi gratis', 'Habitaciones sin humo', '¿Puedo aparcar aquí?', '¿Hay spa?']",32.32750702,-110.85692596,[]
3,111,"Ahwatukee Foothills, Phoenix, 85044, Estados Unidos","Quiet Desert Refuge with Mtn Views - Walk to Trails! se encuentra en Phoenix, a 22 km de Centro de Convenciones de Phoenix y a 22 km de Copper Square, y ofrece alojamiento con wifi gratis, aire acondicionado y bicicletas gratis. Esta casa o chalet ofrece alojamiento con patio.

La casa o chalet de 3 dormitorios cuenta con sala de estar con TV de pantalla plana con canales por cable, cocina totalmente equipada con nevera y lavavajillas, y 2 baños con artículos de aseo gratuitos. Hay toallas y ropa de cama en la casa o chalet.

Sea Life Arizona está a 7,4 km del alojamiento, y Hall of Flame Firefighting Museum está a 15 km. El aeropuerto más cercano (Aeropuerto Internacional de Phoenix-Sky Harbor) está a 17 km del alojamiento.","['¿Está abierta la piscina?', '¿Cómo y cuándo pago?', '¿Está abierto el spa?', 'Piscina al aire libre', 'Parking en el alojamiento', '¿Se sirven desayunos?', 'WiFi gratis', 'Habitaciones sin humo', 'Spa y centro de bienestar', '¿Puedo aparcar aquí?']",33.355,-111.99394,[]
4,132,"3629 East Oraibi Drive, Paradise Valley, Phoenix, AZ 85050, Estados Unidos","Oraibi Oasis-A Phoenix Paradise- Pool, Spa, Putting Green, EV Charger, que tiene vistas a la piscina, dispone de alojamiento con piscina al aire libre y patio a unos 29 km de Copper Square. Esta casa o chalet tiene piscina privada, jardín, zona de barbacoa, wifi gratis y parking privado gratis.

Esta casa o chalet con aire acondicionado consta de 3 dormitorios, una sala de estar, una cocina totalmente equipada con nevera y cafetera, y 2 baños con ducha y bañera de hidromasaje. Hay TV de pantalla plana con canales por cable y videoconsola.

En la casa o chalet, la clientela puede disfrutar de bañera de hidromasaje.

Centro de Convenciones de Phoenix está a 29 km del alojamiento, y Musical Instrument Museum está a 6,3 km. El aeropuerto (Aeropuerto de Scottsdale) está a 16 km.","['Parking gratis', 'Habitaciones familiares', '¿Está abierta la piscina?', '¿Cómo y cuándo pago?', 'Piscina al aire libre', '¿Se sirven desayunos?', 'WiFi gratis', 'Habitaciones sin humo', '¿Puedo aparcar aquí?', '¿Hay spa?']",33.6643456,-112.0036928,[]
5,148,"North Mountain, Phoenix, 85020, Estados Unidos","Pointe Resort Condo with Balcony and Spa 14 Mi to PHX! se encuentra en Phoenix, a 15 km de Copper Square y a 16 km de Centro de Convenciones de Phoenix, y ofrece alojamiento con aire acondicionado, balcón y wifi gratis. Este apartamento está a 7,9 km de Castles and Coasters y a 10 km de Mansión Wrigley.

El apartamento dispone de 2 dormitorios, TV de pantalla plana con canales por cable, una cocina equipada con nevera y lavavajillas, lavadora y 2 baños con bañera de hidromasaje.

Museo Heard está a 13 km del alojamiento, y Museo de Arte de Phoenix está a 14 km. El aeropuerto más cercano (Aeropuerto de Scottsdale) está a 15 km.","['Piscina al aire libre', 'Gimnasio', 'Parking en el alojamiento', 'WiFi gratis', 'Habitaciones sin humo', 'Spa y centro de bienestar']",33.5819,-112.05553,"[{'Personal': '10'}, {'Instalaciones y servicios': '10'}, {'Limpieza': '10'}, {'Confort': '10'}, {'Relación calidad-precio': '10'}, {'Ubicación': '10'}]"
6,151,"5622 East Sylvia Street, Paradise Valley, Phoenix, 85254, Estados Unidos","Chef's Kitchen, Heated Pool, King Bed, Fire Table, Luxury 4 Bd está en el barrio de Paradise Valley, en Phoenix, y dispone de alojamiento con piscina privada y wifi gratis. El alojamiento, que se encuentra a 26 km de Copper Square, ofrece piscina al aire libre y parking privado gratis.

Esta casa o chalet con aire acondicionado se compone de 5 dormitorios independientes, una sala de estar, una cocina totalmente equipada con nevera y lavavajillas, y 4 baños. Hay toallas y ropa de cama en la casa o chalet.

La casa o chalet ofrece barbacoa.

Centro de Convenciones de Phoenix está a 26 km del alojamiento, y Musical Instrument Museum está a 10 km. El aeropuerto más cercano (Aeropuerto de Scottsdale) está a 5 km del alojamiento.","['Parking gratis', 'Adaptado personas de movilidad reducida', 'Habitaciones familiares', '¿Está abierta la piscina?', '¿Cómo y cuándo pago?', 'Piscina al aire libre', '¿Se sirven desayunos?', 'WiFi gratis', 'Habitaciones sin humo', '¿Puedo aparcar aquí?']",33.5988591,-111.9595005,[]
7,155,"4711 North 14th Street, Camelback East, Phoenix, AZ 85014, Estados Unidos","4 Square Studios se encuentra en Phoenix, a 10 km de Copper Square y a 10 km de Centro de Convenciones de Phoenix. Ofrece alojamiento con wifi gratis y acceso a un jardín.

Todas las unidades tienen aire acondicionado y disponen de baño privado, TV de pantalla plana y cocina totalmente equipada.

Mansión Wrigley está a 4,8 km del alojamiento, y Museo Heard está a 5,7 km. El aeropuerto más cercano (Aeropuerto Internacional de Phoenix-Sky Harbor) está a 9 km.","['Parking gratis', 'Madison Park\n850 m', 'Los Olivos Park\n3,1 km', 'Steele Indian School Park\n2 km', 'Grand Canal\n2,1 km', 'Longview Park\n1,3 km', 'WiFi gratis', 'Mansión Wrigley\n2,9 km', 'Park Fifth Avenue Condominiums\n2,8 km', 'Desert Storm Park\n850 m']",33.5060005,-112.0518035,[]
8,162,"19920 North 23rd Avenue, Deer Valley, Phoenix, AZ 85027, Estados Unidos","Modern 2BR Oasis! se encuentra a 28 km de Copper Square y dispone de alojamiento en Phoenix con acceso a una bañera de hidromasaje. Ofrece patio y piscina al aire libre abierta todo el año.

Este apartamento da a un balcón y cuenta con 1 dormitorio. El apartamento tiene aire acondicionado y también ofrece TV de pantalla plana, cocina totalmente equipada con nevera, zona de estar, lavadora y 2 baños con ducha, bañera de hidromasaje y bañera.

Centro de Convenciones de Phoenix está a 28 km del alojamiento, y Centro de Arte Deer Valley Rock está a 2,2 km. El aeropuerto más cercano (Aeropuerto de Scottsdale) está a 23 km del alojamiento.","['Parking gratis', 'Habitaciones familiares', '¿Está abierta la piscina?', '¿Cómo y cuándo pago?', '¿Se sirven desayunos?', '2 piscinas', 'WiFi gratis', 'Habitaciones sin humo', '¿Puedo aparcar aquí?', '¿Hay spa?']",33.6663388,-112.1100906,[]
9,177,"2729 East Fairmount Avenue, Camelback East, Phoenix, AZ 85016, Estados Unidos","Casa Del Sol está en el barrio de Camelback East, en Phoenix, y dispone de alojamiento con piscina privada y wifi gratis. Ofrece patio y piscina al aire libre abierta todo el año.

Esta casa o chalet con aire acondicionado consta de 2 dormitorios, una sala de estar, una cocina totalmente equipada con nevera y cafetera, y 1 baño con bidet y ducha. Hay toallas y ropa de cama en la casa o chalet.

En la casa o chalet se puede usar la barbacoa.

Copper Square está a 10 km del alojamiento, y Centro de Convenciones de Phoenix está a 11 km. El aeropuerto (Aeropuerto Internacional de Phoenix-Sky Harbor) está a 7 km.","['Parking gratis', 'Habitaciones familiares', '¿Está abierta la piscina?', '¿Cómo y cuándo pago?', 'Piscina al aire libre', '¿Se sirven desayunos?', 'WiFi gratis', 'Habitaciones sin humo', '¿Puedo aparcar aquí?', '¿Hay spa?']",33.4929922,-112.0224164,"[{'Personal': '9.9'}, {'Instalaciones y servicios': '9.8'}, {'Limpieza': '10'}, {'Confort': '9.8'}, {'Relación calidad-precio': '9.4'}, {'Ubicación': '9.6'}, {'WiFi gratis': '7.5'}]"
