,hotel_id,direction,description,attributes,latitude,longitude,scores
0,,"3850 Las Vegas Boulevard South, Las Vegas Strip, Las Vegas, NV 89109, Estados Unidos","Este complejo y casino con temática de castillo está ubicado en una zona céntrica de Las Vegas Strip. Cuenta con 4 piscinas al aire libre de temporada, 6 restaurantes, un casino de 9.290 m² y espectáculos nocturnos en directo.

Las habitaciones del Excalibur disponen de WiFi gratuita, incluida en el suplemento del complejo. Todas las habitaciones tienen TV por cable y baño con secador de pelo.

El Excalibur Hotel and Casino cuenta con mostrador de información turística. Alberga numerosas tiendas.

Hay 4 piscinas al aire libre con un tobogán acuático, cenadores junto a la piscina y una piscina solo para adultos. Hay un gran gimnasio con máquinas modernas. 

El complejo queda a 1,6 km de la interestatal 15 que permite acceder fácilmente a los lugares de interés de la zona. El aeropuerto internacional Harry Reid está a 4,5 km y la Universidad de Nevada-Las Vegas se halla a 4 km del hotel. ","['Parking en el alojamiento', 'WiFi', 'Spa y centro de bienestar', '4 piscinas', 'Gimnasio', 'Recepción 24 horas', 'Habitaciones sin humo', 'Adaptado personas de movilidad reducida', '13 restaurantes', 'Bar']",36.10033065,-115.1736474,"[{'Personal': '8.0'}, {'Instalaciones y servicios': '7.5'}, {'Limpieza': '7.8'}, {'Confort': '7.9'}, {'Relación calidad-precio': '7.7'}, {'Ubicación': '8.5'}]"
1,,"75 East Harmon Avenue, Las Vegas Strip, Las Vegas, NV 89109, Estados Unidos","Situated 15 minutes' walk from the Las Vegas Strip, this non-gaming and non-smoking hotel offers air-conditioned rooms with free WiFi for all devices. Facilities include an outdoor swimming pool. Free valet parking is offered to guests of the hotel.

A flat-screen TV, a microwave and a mini-refrigerator are standard in each modern room at Marriott's Grand Chateau. All rooms include a seating area and are brightly decorated. Select rooms have panoramic views of the Strip.

The Resort has several food and beverage venues from a marketplace with hot “Grab & Go” sandwiches, Starbucks coffee drinks as well as a pool bar and grill.
La Diva offers food and the Sky Bar on the roof has sunset views of the strip.


Free access to the on-site fitness centre and hot tub is provided to all guests of Marriott's Grand Chateau.

The Hard Rock Casino is 20 minutes' walk from Marriott's Grand Chateau.","['Aire acondicionado', 'WiFi gratis', 'Gimnasio', 'Recepción 24 horas', 'Habitaciones sin humo', 'Adaptado personas de movilidad reducida', 'Bar', '2 piscinas', 'Parking gratis']",36.10747771,-115.16959727,"[{'Personal': '9.3'}, {'Instalaciones y servicios': '9.2'}, {'Limpieza': '9.3'}, {'Confort': '9.4'}, {'Relación calidad-precio': '8.8'}, {'Ubicación': '9.4'}, {'WiFi gratis': '9.0'}]"
2,,"8335 Las Vegas Boulevard South, Las Vegas, NV 89123, Estados Unidos","El Hilton Vacation Club Cancun Resort Las Vegas alberga un restaurante y una gran zona de piscina al aire libre con toboganes de agua, y se encuentra en Las Vegas Boulevard, solo 5 km al sur de Las Vegas Strip.

Las villas de 1 y 2 dormitorios están totalmente decoradas y cuentan con reproductor de DVD y TV por cable. Las habitaciones están decoradas en tonos vivos y tienen cocina completamente equipada y balcón. Algunas villas incluyen bañera de hidromasaje.

El Caribe Lounge del Hilton Vacation Club Cancun Resort Las Vegas ofrece comida mexicana y está ubicado junto a la piscina del complejo y la cascada maya.

En el spa del establecimiento se puede disfrutar de una gran variedad de masajes y tratamientos de belleza. El complejo también dispone de servicio de conserjería, mostrador de información turística y descuentos para muchos espectáculos conocidos de Las Vegas.

El aeropuerto internacional McCarran está a 10,6 km del Hilton Vacation Club Cancun Resort Las Vegas, y la interestatal 15 queda a solo 1,5 km.","['WiFi gratis', 'Tetera/cafetera en todas las habitaciones', 'Restaurante', 'Habitaciones familiares', 'Gimnasio', 'Habitaciones sin humo', 'Adaptado personas de movilidad reducida', 'Bar', '2 piscinas', 'Parking gratis']",36.03795373,-115.17328799,"[{'Personal': '8.5'}, {'Instalaciones y servicios': '8.3'}, {'Limpieza': '8.4'}, {'Confort': '8.5'}, {'Relación calidad-precio': '8.2'}, {'Ubicación': '8.4'}, {'WiFi gratis': '7.5'}]"
3,,"206 North 3rd Street , Las Vegas, NV 89101, Estados Unidos","El Downtown Grand está ubicado en la zona de Downtown Las Vegas y alberga el club Citrus Grand Pool Deck, que tiene la terraza con piscina más grande de Downtown Las Vegas. Este hotel y casino se halla a 200 metros del Museo Mob y a 400 metros de la zona comercial y de ocio Fremont Street Experience.

Las habitaciones disponen de escritorio empotrado, mesitas de noche y TV HD con pantalla plana de 40 pulgadas. El baño privado incluye secador de pelo y artículos de aseo ecológicos.

El casino del Downtown Grand cuenta con máquinas tragamonedas y juegos de mesa. El William Hill Sportsbook retransmite competiciones deportivas.

El Downtown Grand alberga 3 restaurantes con una gran variedad de platos para todos los gustos. El Triple George Grill sirve carne perfectamente añejada y platos de marisco/pescado con aderezo «old bay». El Freedom Beat organiza conciertos en directo en su escenario de ultima generación. El Pizza Rock ofrece varios tipos de pizza gourmet, hamburguesas de Kobe, cócteles artesanales y una extensa carta de cerveza y vino de importación. También alberga otros sitios para comer donde se ofrecen platos internacionales.

El Downtown Grand cuenta con centro de fitness.

Este hotel y casino se encuentra a 3 km del centro comercial Las Vegas North Premium Outlets.","['WiFi gratis', 'Habitaciones familiares', 'Bar', '2 restaurantes', 'Gimnasio', 'Recepción 24 horas', 'Habitaciones sin humo', 'Adaptado personas de movilidad reducida', 'Piscina al aire libre', 'Parking gratis']",36.172119,-115.141472,"[{'Personal': '8.4'}, {'Instalaciones y servicios': '8.1'}, {'Limpieza': '8.4'}, {'Confort': '8.4'}, {'Relación calidad-precio': '8.1'}, {'Ubicación': '8.5'}, {'WiFi gratis': '7.6'}]"
4,,"3900 Las Vegas Boulevard South, Las Vegas Strip, Las Vegas, NV 89119, Estados Unidos","El Luxor, famoso por su emblemática forma piramidal, está situado en la zona del Strip de Las Vegas y ofrece entretenimiento en directo, un casino, un spa de servicio completo, 4 piscinas grandes de temporada y una bañera de hidromasaje.

Las habitaciones premium de la torre han sido renovadas e incluyen varias tomas de corriente y de recarga, baño con bañera y ducha independientes, y un mueble que se puede utilizar como armario, lugar de almacenamiento, escritorio y centro multimedia.

El Nurture Spa and Salon ofrece una variedad de tratamientos de belleza. El spa cuenta con baño de vapor, sauna seca y bañeras de hidromasaje.

El Luxor Las Vegas alberga un asador, un restaurante de tipo buffet, una cafetería y una tienda de delicatessen.

El Casino Luxor tiene una superficie de 11.148 m² y cuenta con máquinas tragamonedas y zonas para jugar al póquer y a otros juegos de mesa. Los huéspedes también pueden apostar en el BetMGM Sportsbook, equipado con varias TV de plasma.

Atención: De acuerdo con las condiciones del Luxor, a la llegada hay que presentar la tarjeta de crédito utilizada para efectuar la reserva.","['Parking en el alojamiento', 'Spa y centro de bienestar', '11 restaurantes', '4 piscinas', 'Gimnasio', 'Habitaciones sin humo', 'Adaptado personas de movilidad reducida', 'WiFi', 'Bar', 'Servicio de habitaciones']",36.09688116,-115.17580792,"[{'Personal': '8.0'}, {'Instalaciones y servicios': '7.5'}, {'Limpieza': '7.9'}, {'Confort': '8.0'}, {'Relación calidad-precio': '7.6'}, {'Ubicación': '8.2'}]"
5,,"3300 Las Vegas Boulevard South, Las Vegas Strip, Las Vegas, NV 89109, Estados Unidos","Este hotel y casino, que se encuentra en pleno Strip de Las Vegas, alberga una gran variedad de restaurantes, bares, un spa y una piscina al aire libre de temporada. Todas las habitaciones cuentan con TV LCD de pantalla plana con canales digitales por cable y de pago.

Las habitaciones del Treasure Island - TI Las Vegas Hotel & Casino, a Radisson Hotel ofrecen ventanales con vistas a las montañas y al Strip de Las Vegas. Las habitaciones disponen de aire acondicionado, escritorio grande, nevera pequeña y caja fuerte para ordenador portátil. El baño privado cuenta con secador de pelo, espejo de aumento iluminado y artículos de aseo gratuitos.

El Marvel’s Avengers S.T.A.T.I.O.N. está situado en el Treasure Island y abre todos los días de 10:00 a 22:00. Es una experiencia educativa de inmersión total que lleva a los visitantes a conocer el mundo de Los Vengadores. Pueden acceder personas de todas las edades. La entrada ofrece acceso a la sede oficial S.T.A.T.I.O.N., permite adentrarse en el universo cinematográfico de Marvel y visitar una gran variedad de archivos de inteligencia, estudios clasificados y experimentos que exploran la historia y los orígenes científicos de Los Vengadores. Todo ello mientras se entrena para convertirse en un agente de S.T.A.T.I.O.N.

El Treasure Island - TI Las Vegas Hotel & Casino, a Radisson Hotel alberga el asador italiano Phil's, que sirve un menú de especialidades clásicas italianas, de marisco y filetes para la cena. El bar restaurante Señor Frogs Las Vegas sirve cocina mexicana en un entorno más informal. El Gilley's BBQ, una reencarnación de un salón de baile y honky-tonk de Texas, ofrece danza en línea y toros mecánicos.

El hotel cuenta con un gran casino con juegos de mesa, máquinas tragamonedas y videopóker, un libro de deportes y una sala de apuestas altas. También hay un centro de fitness, un spa y un centro de bienestar. Se ofrece servicio de limpieza en seco y de lavandería. Hay una capilla y varias tiendas.

El Treasure Island Hotel & Casino está a 5 minutos a pie del centro comercial Fashion Show Mall y a menos de 1,6 km del Sands Expo. El Centro de convenciones de Las Vegas se encuentra a 3 km del hotel.","['3 restaurantes', 'Spa y centro de bienestar', 'WiFi gratis', 'Gimnasio', 'Recepción 24 horas', 'Habitaciones sin humo', 'Adaptado personas de movilidad reducida', 'Bar', 'Parking gratis', 'Servicio de habitaciones']",36.12398796,-115.17155528,
6,,"3667 Las Vegas Blvd S, Las Vegas Strip, Las Vegas, NV 89109, Estados Unidos","Este moderno hotel y casino, situado en el Strip de Las Vegas, ofrece spa de servicio completo y 9 restaurantes. El centro comercial Miracle Mile Shops, que alberga más de 170 tiendas exclusivas, 15 restaurantes y 3 teatros en vivo, está comunicado directamente con el hotel.

El Planet Hollywood cuenta con 2 piscinas al aire libre y bañeras de hidromasaje con vistas al Strip. Además, ofrece centro de fitness, tiendas y animación nocturna a cargo de artistas de talla mundial.

Las lujosas habitaciones del Planet Hollywood de Las Vegas están equipadas con TV de plasma de 42 pulgadas. También incluyen baños amplios y recuerdos del mundo del cine.

Se puede comer en el BurGR, el restaurante informal americano del famoso chef Gordon Ramsay, y en el Strip House, un asador clásico americano. El Koi ofrece cocina japonesa, mientras que el famoso Pink's Hot Dogs sirve perritos calientes americanos. Además, hay un buffet y otros sitios para comer de ambiente informal.

El centro de convenciones de Las Vegas está a 8 minutos en coche.","['Parking en el alojamiento', 'WiFi en todo el alojamiento', 'Habitaciones familiares', 'Bar', 'Gimnasio', 'Habitaciones sin humo', 'Adaptado personas de movilidad reducida', '8 restaurantes', 'Piscina al aire libre', 'Servicio de habitaciones']",36.11007373,-115.17254233,"[{'Personal': '7.7'}, {'Instalaciones y servicios': '7.8'}, {'Limpieza': '8.1'}, {'Confort': '8.1'}, {'Relación calidad-precio': '7.7'}, {'Ubicación': '9.1'}]"
7,,"3655 Las Vegas Boulevard South, Las Vegas Strip, Las Vegas, NV 89109, Estados Unidos","Este hotel y casino está situado en el Strip de Las Vegas y dispone de piscina en la azotea, centro comercial cubierto y réplicas de varios lugares de interés de París, como la Torre Eiffel.

Las habitaciones del Paris Las Vegas están decoradas al estilo francés y cuentan con baño de mármol, películas de pago y caja fuerte. Hay servicio de habitaciones.

El Paris alberga 11 restaurantes y 5 bares. El Napoleon’s Dueling Piano Bar sirve una amplia variedad de bebidas y ofrece duelos de piano. Los huéspedes pueden comer en el elegante restaurante The Eiffel Tower u optar por una comida informal en el The Le Village Buffet.

Además, el Paris Las Vegas acoge un gimnasio y spa de servicio completo, el Paris Spa. El hotel también dispone de teatro con espectáculos nocturnos y casino con máquinas tragamonedas, mesas de juego y keno.","['WiFi en todo el alojamiento', 'Habitaciones familiares', 'Bar', 'Traslado aeropuerto', 'Gimnasio', 'Habitaciones sin humo', 'Adaptado personas de movilidad reducida', '10 restaurantes', 'Piscina al aire libre', 'Servicio de habitaciones']",36.1120326,-115.17155528,"[{'Personal': '7.7'}, {'Instalaciones y servicios': '7.9'}, {'Limpieza': '8.2'}, {'Confort': '8.3'}, {'Relación calidad-precio': '7.6'}, {'Ubicación': '9.2'}]"
8,,"3555 Las Vegas Boulevard, Las Vegas Strip, Las Vegas, NV 89109, Estados Unidos","Este complejo en Las Vegas Strip cuenta con una piscina GO de estilo caribeño con entretenimiento para mayores de 21 años. El complejo también ofrece un Beach Club Pool ideal para familias, además de 1 spa y 2 casinos. Se ofrecen múltiples opciones de restaurantes y salones.

Todas las amplias habitaciones con aire acondicionado del Flamingo Las Vegas Hotel & Casino están equipadas con un escritorio, una zona de estar y un centro de entretenimiento con TV por cable. Todas las habitaciones incluyen una caja fuerte.

El Flamingo Las Vegas Casino ofrece más de 1.600 juegos de tragamonedas de casino, que incluye video poker y Megabucks. Los huéspedes también pueden disfrutar de juegos como dados, blackjack, baccarat y ruleta. El Jimmy Buffet’s Margaritaville ofrece un casino de 1.393 m² con 14 mesas de juego y 220 máquinas tragamonedas.

El Flamingo Las Vegas Hotel & Casino incluye opciones de entretenimiento como actuaciones de los principales actos musicales mundialmente conocidos, comediantes y espectáculos burlescos para adultos.

Los huéspedes del Flamingo Hotel & Casino pueden disfrutar de excelentes bistecs y mariscos en el Bugsy & Meyer's Steakhouse. Además, pueden probar sus cervezas artesanales y café gourmet. El pintoresco Margaritaville, que es un restaurante de temática caribeña, también está disponible, mientras que el restaurante Carlos 'n Charlie's ofrece comida mexicana informal.

El Flamingo Las Vegas Hotel & Casino tiene un moderno gimnasio. Hay una piscina al aire libre con cascadas, tobogán y zona exclusiva para adultos, The Wildlife Habitat at the Flamingo es un hábitat de 6 hectáreas que ofrece a sus huéspedes la oportunidad de ver aves exóticas, peces y tortugas.

El aeropuerto internacional McCarran está a 4,8 km del Flamingo Las Vegas Hotel & Casino. El monorraíl de Las Vegas, que conecta con los principales lugares de ocio de la zona, se halla a pocos pasos del hotel.","['Parking en el alojamiento', 'WiFi en todo el alojamiento', 'Habitaciones familiares', 'Bar', 'Gimnasio', 'Habitaciones sin humo', 'Adaptado personas de movilidad reducida', 'Piscina al aire libre', '5 restaurantes', 'Servicio de habitaciones']",36.11559484,-115.17257452,"[{'Personal': '7.2'}, {'Instalaciones y servicios': '7.3'}, {'Limpieza': '7.7'}, {'Confort': '7.7'}, {'Relación calidad-precio': '7.4'}, {'Ubicación': '9.0'}]"
9,,"3645 Las Vegas Boulevard South, Las Vegas Strip, Las Vegas, NV 89109, Estados Unidos","Este hotel está ubicado en Las Vegas Strip. Incluye centro de fitness, piscina al aire libre y 8 restaurantes. Las habitaciones ofrecen TV por cable. También hay una piscina al aire libre.

Todas las habitaciones del Horseshoe Las Vegas formerly Bally's disponen de caja fuerte. Se incluyen utensilios de planchado y escritorio.

El Centro de Exposiciones y Convenciones Sands está a 5 minutos en coche del hotel. El aeropuerto internacional Harry Reid está a 5,6 km. El campo de golf Wynn se halla a 10 minutos en coche.","['Parking en el alojamiento', 'WiFi en todo el alojamiento', 'Habitaciones familiares', 'Bar', 'Gimnasio', 'Habitaciones sin humo', 'Adaptado personas de movilidad reducida', 'Piscina al aire libre', '5 restaurantes', 'Servicio de habitaciones']",36.11437711,-115.16947925,"[{'Personal': '7.8'}, {'Instalaciones y servicios': '7.8'}, {'Limpieza': '8.1'}, {'Confort': '8.2'}, {'Relación calidad-precio': '7.8'}, {'Ubicación': '9.0'}]"
